site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Erica scoparia,Ericscop,tree,0,0,NA,5,1,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Pistacia lentiscus,Pistlent,shrub,20,1,2,5,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Dittrichia viscosa,Dittvisc,shrub,0,0,NA,NA,NA,NA,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Cistus populifolius,Cistpopu,tree,0,0,NA,4,0,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Cistus albidus,Cistalbi,shrub,0,0,NA,5,0,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Quercus pyrenaica,Querpyre,tree,0,0,NA,3,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Cistus populifolius,Cistpopu,shrub,0,0,NA,4,0,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Pinus pinaster,Pinupina,shrub,0,0,NA,5,NA,NA,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Erica arborea,Ericarbo,shrub,0,0,NA,5,1,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Cistus albidus,Cistalbi,tree,0,0,NA,5,0,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Genista triacanthos,Genitria,shrub,0,0,NA,3,1,1,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Adenocarpus telonensis,Adentelo,shrub,0,0,NA,2,NA,1,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Thymus baeticus,Thymbaet,tree,0,0,NA,NA,NA,1,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Thymus baeticus,Thymbaet,shrub,0,0,NA,NA,NA,1,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Teucrium fruticans,Teucfrut,tree,0,0,NA,2,NA,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Rubus ulmifolius,Rubuulmi,shrub,2.9,1,2,2,NA,NA,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Rubus ulmifolius,Rubuulmi,tree,0,0,NA,2,NA,NA,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Rosa sempervirens,Rosasemp,tree,0,0,NA,2,NA,NA,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Cistus ladanifer,Cistlada,tree,0,0,NA,NA,0,1,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Quercus pyrenaica,Querpyre,shrub,0,0,NA,3,1,2,2
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Erica australis,Ericaust,shrub,4.1999999999999975,1,0,5,1,1,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Pyrus bourgaeana,Pyrubour,tree,0,0,NA,4,NA,2,NA
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Calicotome villosa,Calivill,shrub,7.549999999999995,1,0,2,1,1,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Adenocarpus telonensis,Adentelo,tree,0,0,NA,2,NA,1,intermedio
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Phlomys purpurea,Phlopurp,tree,0,0,NA,5,0,1,1
Beatas1,Los_Barrios,36.31554,-5.55076,286,1,2,Phillyrea latifolia,Phillati,tree,0,0,NA,2,NA,2,2
